Date,Price,Open,High,Low,Vol.,Change %
9/25/2024,"21,700.00","21,500.00","21,850.00","21,400.00",9.75M,2.84%
9/24/2024,"21,100.00","21,250.00","21,400.00","21,100.00",3.97M,-0.71%
9/23/2024,"21,250.00","21,450.00","21,650.00","21,200.00",2.75M,-0.93%
9/20/2024,"21,450.00","21,750.00","21,900.00","21,400.00",5.53M,-0.23%
9/19/2024,"21,500.00","21,400.00","21,800.00","21,300.00",6.08M,1.42%
9/18/2024,"21,200.00","21,200.00","21,300.00","21,000.00",2.74M,0.47%
9/17/2024,"21,100.00","20,600.00","21,100.00","20,600.00",3.92M,2.43%
9/16/2024,"20,600.00","20,800.00","21,400.00","20,600.00",,-1.90%
9/13/2024,"21,000.00","21,300.00","21,300.00","21,000.00",2.33M,-0.94%
9/12/2024,"21,200.00","21,500.00","21,600.00","21,050.00",2.59M,-0.93%
9/11/2024,"21,400.00","21,200.00","21,500.00","20,800.00",4.06M,1.66%
9/10/2024,"21,050.00","21,500.00","21,600.00","20,950.00",2.30M,-1.64%
9/9/2024,"21,400.00","20,400.00","21,700.00","20,400.00",4.38M,2.88%
9/6/2024,"20,800.00","20,750.00","20,900.00","20,450.00",3.56M,0.48%
9/5/2024,"20,700.00","21,350.00","21,600.00","20,650.00",6.50M,-3.04%
9/4/2024,"21,350.00","21,700.00","21,700.00","20,500.00",4.44M,-2.06%
8/30/2024,"21,800.00","22,100.00","22,150.00","20,600.00",3.55M,-1.36%
8/29/2024,"22,100.00","22,150.00","22,400.00","21,950.00",2.38M,0.00%
8/28/2024,"22,100.00","21,750.00","22,450.00","21,700.00",7.63M,1.38%
8/27/2024,"21,800.00","21,900.00","22,050.00","21,550.00",3.64M,-0.46%
8/26/2024,"21,900.00","22,650.00","22,950.00","21,800.00",5.72M,-1.13%
8/23/2024,"22,150.00","21,550.00","22,150.00","21,100.00",7.39M,3.02%
8/22/2024,"21,500.00","21,800.00","22,000.00","21,350.00",5.40M,-1.38%
8/21/2024,"21,800.00","22,900.00","22,900.00","21,550.00",5.30M,1.63%
8/20/2024,"21,450.00","21,150.00","21,650.00","21,000.00",6.47M,1.42%
8/19/2024,"21,150.00","20,650.00","21,700.00","20,650.00",6.23M,2.42%
8/16/2024,"20,650.00","19,650.00","20,950.00","19,600.00",6.58M,4.03%
8/15/2024,"19,850.00","19,750.00","20,500.00","19,750.00",4.98M,-2.70%
8/14/2024,"20,400.00","20,550.00","21,050.00","20,400.00",3.28M,-1.92%
8/13/2024,"20,800.00","21,400.00","21,400.00","20,600.00",3.05M,-1.89%
8/12/2024,"21,200.00","21,250.00","21,400.00","20,800.00",1.86M,-0.24%
8/9/2024,"21,250.00","20,950.00","21,300.00","20,800.00",2.95M,2.16%
8/8/2024,"20,800.00","19,400.00","21,050.00","19,400.00",3.11M,-0.24%
8/7/2024,"20,850.00","21,000.00","21,000.00","20,400.00",2.49M,0.48%
8/6/2024,"20,750.00","19,100.00","20,950.00","19,100.00",3.48M,2.22%
8/5/2024,"20,300.00","20,500.00","21,800.00","20,300.00",9.07M,-6.88%
8/2/2024,"21,800.00","21,000.00","22,150.00","20,900.00",4.25M,2.83%
8/1/2024,"21,200.00","22,650.00","22,700.00","21,050.00",9.74M,-6.19%
7/31/2024,"22,600.00","23,700.00","23,700.00","22,150.00",6.50M,-3.83%
7/30/2024,"23,500.00","23,950.00","23,950.00","23,150.00",3.53M,-0.42%
7/29/2024,"23,600.00","23,600.00","23,950.00","23,500.00",3.79M,1.07%
7/26/2024,"23,350.00","23,450.00","23,450.00","23,100.00",1.53M,0.65%
7/25/2024,"23,200.00","23,150.00","23,400.00","22,700.00",2.46M,-0.85%
7/24/2024,"23,400.00","22,900.00","23,500.00","22,350.00",3.90M,1.74%
7/23/2024,"23,000.00","23,550.00","23,800.00","23,000.00",4.31M,-2.34%
7/22/2024,"23,550.00","24,300.00","24,300.00","23,000.00",7.21M,-3.09%
7/19/2024,"24,300.00","25,000.00","25,050.00","24,300.00",4.21M,-3.57%
7/18/2024,"25,200.00","24,800.00","25,200.00","24,200.00",4.78M,1.61%
7/17/2024,"24,800.00","25,400.00","25,500.00","23,900.00",7.25M,-2.36%
7/16/2024,"25,400.00","25,550.00","25,800.00","25,200.00",3.74M,-1.17%
7/15/2024,"25,700.00","25,900.00","25,900.00","25,300.00",2.56M,0.00%
7/12/2024,"25,700.00","25,050.00","25,850.00","24,700.00",7.81M,2.80%
7/11/2024,"25,000.00","25,500.00","25,600.00","25,000.00",4.53M,-1.38%
7/10/2024,"25,350.00","25,700.00","26,050.00","25,300.00",6.95M,-0.20%
7/9/2024,"25,400.00","25,500.00","25,600.00","25,100.00",4.79M,0.59%
7/8/2024,"25,250.00","24,750.00","25,350.00","24,600.00",5.83M,2.85%
7/5/2024,"24,550.00","24,850.00","24,900.00","24,400.00",3.23M,-1.01%
7/4/2024,"24,800.00","24,900.00","25,100.00","24,500.00",3.08M,0.00%
7/3/2024,"24,800.00","24,850.00","25,100.00","24,800.00",3.18M,0.00%
7/2/2024,"24,800.00","24,000.00","24,800.00","24,000.00",4.67M,3.55%
7/1/2024,"23,950.00","23,600.00","24,100.00","23,550.00",3.31M,1.70%
6/28/2024,"23,550.00","24,500.00","24,700.00","23,500.00",7.18M,-4.46%
6/27/2024,"24,650.00","25,000.00","25,000.00","24,400.00",2.75M,-1.00%
6/26/2024,"24,900.00","24,700.00","25,100.00","24,150.00",4.36M,0.81%
6/25/2024,"24,700.00","24,300.00","25,200.00","24,250.00",5.72M,2.07%
6/24/2024,"24,200.00","25,000.00","25,400.00","24,200.00",13.10M,-4.72%
6/21/2024,"25,400.00","26,100.00","26,350.00","25,400.00",9.26M,-2.68%
6/20/2024,"26,100.00","26,500.00","26,550.00","25,650.00",10.31M,-1.51%
6/19/2024,"26,500.00","26,600.00","26,950.00","26,350.00",5.47M,-0.38%
6/18/2024,"26,600.00","26,800.00","27,000.00","26,600.00",3.69M,-0.75%
6/17/2024,"26,800.00","25,700.00","27,200.00","25,450.00",15.85M,4.28%
6/14/2024,"25,700.00","26,700.00","27,150.00","25,700.00",9.94M,-3.38%
6/13/2024,"26,600.00","26,600.00","26,800.00","26,400.00",4.41M,0.19%
6/12/2024,"26,550.00","26,500.00","26,700.00","26,150.00",7.47M,0.00%
6/11/2024,"26,550.00","26,700.00","27,100.00","26,200.00",11.20M,0.19%
6/10/2024,"26,500.00","25,800.00","26,500.00","25,450.00",9.62M,3.11%
6/7/2024,"25,700.00","25,700.00","25,900.00","25,300.00",5.02M,0.00%
6/6/2024,"25,700.00","25,600.00","26,250.00","25,400.00",7.36M,0.78%
6/5/2024,"25,500.00","25,700.00","25,950.00","25,350.00",6.11M,0.00%
6/4/2024,"25,500.00","25,000.00","26,200.00","24,950.00",15.69M,2.62%
6/3/2024,"24,850.00","24,750.00","25,000.00","24,550.00",4.36M,1.84%
5/31/2024,"24,400.00","24,500.00","24,700.00","24,300.00",4.89M,0.21%
5/30/2024,"24,350.00","24,400.00","24,650.00","24,150.00",6.99M,-1.62%
5/29/2024,"24,750.00","25,250.00","25,600.00","24,750.00",8.00M,-1.20%
5/28/2024,"25,050.00","25,250.00","25,250.00","24,850.00",4.43M,0.60%
5/27/2024,"24,900.00","24,600.00","24,900.00","24,600.00",4.31M,0.40%
5/24/2024,"24,800.00","25,600.00","25,800.00","24,150.00",12.11M,-3.13%
5/23/2024,"25,600.00","24,800.00","25,600.00","24,700.00",8.42M,2.81%
5/22/2024,"24,900.00","25,100.00","25,350.00","24,550.00",8.62M,-0.40%
5/21/2024,"25,000.00","25,050.00","25,150.00","24,700.00",7.03M,-0.79%
5/20/2024,"25,200.00","25,200.00","25,700.00","24,900.00",11.40M,1.61%
5/17/2024,"24,800.00","24,600.00","24,800.00","24,200.00",6.19M,1.02%
5/16/2024,"24,550.00","24,800.00","24,950.00","24,400.00",5.05M,0.20%
5/15/2024,"24,500.00","24,050.00","24,700.00","24,050.00",7.61M,1.87%
5/14/2024,"24,050.00","24,100.00","24,300.00","23,900.00",3.52M,0.21%
5/13/2024,"24,000.00","24,000.00","24,500.00","23,800.00",7.36M,0.42%
5/10/2024,"23,900.00","23,900.00","23,900.00","23,350.00",4.56M,0.63%
5/9/2024,"23,750.00","24,000.00","24,050.00","23,550.00",4.59M,0.00%
5/8/2024,"23,750.00","23,500.00","24,150.00","22,950.00",8.65M,0.85%
5/7/2024,"23,550.00","23,400.00","23,800.00","23,200.00",6.17M,0.64%
5/6/2024,"23,400.00","23,200.00","23,750.00","22,950.00",7.37M,2.63%
5/3/2024,"22,800.00","22,800.00","23,200.00","22,600.00",5.92M,0.44%
5/2/2024,"22,700.00","22,200.00","22,800.00","21,850.00",4.19M,3.65%
4/26/2024,"21,900.00","21,800.00","22,400.00","21,550.00",4.58M,-0.45%
4/25/2024,"22,000.00","22,350.00","22,400.00","21,800.00",4.57M,-1.57%
4/24/2024,"22,350.00","21,750.00","22,500.00","21,650.00",6.44M,4.93%
4/23/2024,"21,300.00","22,900.00","22,900.00","21,300.00",8.11M,-6.78%
4/22/2024,"22,850.00","22,500.00","22,900.00","22,250.00",5.58M,4.10%
4/19/2024,"21,950.00","22,500.00","23,200.00","21,950.00",12.11M,-4.57%
4/17/2024,"23,000.00","23,800.00","24,100.00","23,000.00",8.46M,-2.75%
4/16/2024,"23,650.00","24,050.00","24,250.00","22,900.00",10.34M,-1.66%
4/15/2024,"24,050.00","25,700.00","26,350.00","24,050.00",19.27M,-6.96%
4/12/2024,"25,850.00","25,900.00","25,950.00","25,600.00",6.56M,0.39%
4/11/2024,"25,750.00","24,400.00","25,950.00","24,400.00",9.93M,3.83%
4/10/2024,"24,800.00","25,200.00","25,200.00","24,800.00",3.05M,-1.20%
4/9/2024,"25,100.00","24,600.00","25,100.00","24,600.00",3.88M,2.03%
4/8/2024,"24,600.00","24,500.00","25,000.00","24,350.00",4.89M,0.61%
4/5/2024,"24,450.00","24,800.00","25,150.00","24,450.00",10.30M,-2.78%
4/4/2024,"25,150.00","25,350.00","25,600.00","25,150.00",6.78M,-1.37%
4/3/2024,"25,500.00","26,250.00","26,250.00","25,500.00",8.56M,-2.49%
4/2/2024,"26,150.00","25,500.00","26,200.00","25,200.00",10.51M,1.55%
4/1/2024,"25,750.00","25,550.00","25,750.00","25,300.00",7.18M,0.39%
3/29/2024,"25,650.00","26,050.00","26,100.00","25,600.00",6.19M,-1.72%
3/28/2024,"26,100.00","26,100.00","26,200.00","25,750.00",6.88M,0.38%
3/27/2024,"26,000.00","26,450.00","26,750.00","25,900.00",11.72M,0.00%
3/26/2024,"26,000.00","25,300.00","26,000.00","25,000.00",7.79M,2.77%
3/25/2024,"25,300.00","25,600.00","26,300.00","25,100.00",11.82M,-0.78%
3/22/2024,"25,500.00","25,600.00","25,900.00","24,850.00",17.50M,0.59%
3/21/2024,"25,350.00","25,350.00","26,150.00","25,100.00",16.71M,0.80%
3/20/2024,"25,150.00","25,200.00","25,200.00","24,800.00",7.79M,-0.20%
3/19/2024,"25,200.00","23,950.00","25,350.00","23,650.00",29.22M,6.33%
3/18/2024,"23,700.00","24,650.00","24,700.00","22,900.00",10.74M,-3.07%
3/15/2024,"24,450.00","24,000.00","24,700.00","23,750.00",10.66M,1.66%
3/14/2024,"24,050.00","24,300.00","24,350.00","23,900.00",6.97M,-0.62%
3/13/2024,"24,200.00","23,500.00","24,400.00","23,450.00",10.83M,2.98%
3/12/2024,"23,500.00","23,600.00","23,750.00","23,500.00",6.01M,-0.42%
3/11/2024,"23,600.00","23,950.00","23,950.00","23,450.00",6.99M,-1.46%
3/8/2024,"23,950.00","24,700.00","24,700.00","23,950.00",13.92M,-2.44%
3/7/2024,"24,550.00","24,600.00","24,750.00","24,300.00",7.82M,-0.20%
3/6/2024,"24,600.00","24,650.00","24,750.00","24,200.00",8.10M,-0.20%
3/5/2024,"24,650.00","24,500.00","24,900.00","24,300.00",11.43M,0.82%
3/4/2024,"24,450.00","24,400.00","24,950.00","24,300.00",16.30M,1.24%
3/1/2024,"24,150.00","24,000.00","24,200.00","23,800.00",5.94M,0.84%
2/29/2024,"23,950.00","24,250.00","24,250.00","23,800.00",8.67M,-0.83%
2/28/2024,"24,150.00","24,100.00","24,300.00","23,900.00",6.53M,0.21%
2/27/2024,"24,100.00","23,850.00","24,550.00","23,800.00",11.22M,1.69%
2/26/2024,"23,700.00","23,350.00","23,850.00","23,250.00",7.55M,1.50%
2/23/2024,"23,350.00","23,850.00","24,100.00","23,350.00",10.10M,-1.89%
2/22/2024,"23,800.00","24,050.00","24,200.00","23,800.00",7.75M,-1.04%
2/21/2024,"24,050.00","24,450.00","24,450.00","24,000.00",8.48M,-1.03%
2/20/2024,"24,300.00","24,550.00","24,550.00","24,250.00",6.17M,-0.61%
2/19/2024,"24,450.00","24,700.00","25,000.00","24,150.00",11.08M,-0.61%
2/16/2024,"24,600.00","24,750.00","24,900.00","24,550.00",5.65M,-0.61%
2/15/2024,"24,750.00","24,700.00","25,100.00","24,500.00",8.19M,1.64%
2/7/2024,"24,350.00","24,400.00","24,500.00","24,250.00",4.39M,0.41%
2/6/2024,"24,250.00","24,400.00","24,600.00","24,250.00",6.22M,-0.21%
2/5/2024,"24,300.00","24,350.00","24,700.00","24,250.00",10.44M,0.21%
2/2/2024,"24,250.00","23,800.00","24,500.00","23,800.00",7.90M,1.04%
2/1/2024,"24,000.00","24,150.00","24,350.00","23,900.00",8.92M,-0.83%
1/31/2024,"24,200.00","24,850.00","24,850.00","24,200.00",19.54M,-3.20%
1/30/2024,"25,000.00","24,700.00","25,050.00","24,500.00",6.77M,1.01%
1/29/2024,"24,750.00","25,400.00","25,500.00","24,750.00",9.14M,-2.56%
1/26/2024,"25,400.00","25,300.00","25,450.00","25,100.00",4.77M,0.79%
1/25/2024,"25,200.00","24,850.00","25,450.00","24,600.00",6.99M,1.41%
1/24/2024,"24,850.00","25,050.00","25,250.00","24,850.00",5.56M,-1.00%
1/23/2024,"25,100.00","25,300.00","25,300.00","24,900.00",5.24M,-0.40%
1/22/2024,"25,200.00","25,150.00","25,800.00","25,000.00",13.04M,1.00%
1/19/2024,"24,950.00","25,200.00","25,350.00","24,800.00",6.87M,-0.99%
1/18/2024,"25,200.00","24,950.00","25,500.00","24,700.00",11.29M,1.41%
1/17/2024,"24,850.00","25,100.00","25,200.00","24,600.00",12.45M,-0.20%
1/16/2024,"24,900.00","23,200.00","24,900.00","23,200.00",20.22M,6.87%
1/15/2024,"23,300.00","23,600.00","23,650.00","23,000.00",3.85M,-0.21%
1/12/2024,"23,350.00","23,150.00","23,800.00","23,100.00",7.29M,-0.64%
1/11/2024,"23,500.00","23,250.00","23,500.00","23,250.00",5.29M,1.73%
1/10/2024,"23,100.00","23,450.00","23,600.00","22,950.00",11.13M,-2.12%
1/9/2024,"23,600.00","23,950.00","23,950.00","23,250.00",12.46M,-1.05%
1/8/2024,"23,850.00","24,150.00","24,400.00","23,850.00",8.02M,-1.04%
1/5/2024,"24,100.00","23,900.00","24,200.00","23,800.00",7.60M,0.00%
1/4/2024,"24,100.00","24,200.00","24,450.00","23,800.00",9.05M,-0.41%
1/3/2024,"24,200.00","23,750.00","24,200.00","23,600.00",6.13M,1.89%
1/2/2024,"23,750.00","24,700.00","24,800.00","23,750.00",10.52M,-3.65%
12/29/2023,"24,650.00","24,600.00","24,650.00","24,450.00",5.50M,0.41%
12/28/2023,"24,550.00","24,100.00","24,750.00","24,050.00",9.25M,1.87%
12/27/2023,"24,100.00","24,450.00","24,550.00","24,100.00",6.71M,-0.41%
12/26/2023,"24,200.00","24,200.00","24,400.00","23,900.00",9.48M,0.41%
12/25/2023,"24,100.00","24,350.00","25,000.00","24,100.00",11.26M,-0.82%
12/22/2023,"24,300.00","24,450.00","24,750.00","24,000.00",7.40M,0.00%
12/21/2023,"24,300.00","23,800.00","24,650.00","23,700.00",12.57M,1.25%
12/20/2023,"24,000.00","23,900.00","24,100.00","23,750.00",6.52M,0.00%
12/19/2023,"24,000.00","22,800.00","24,000.00","22,750.00",11.20M,5.49%
12/18/2023,"22,750.00","23,300.00","23,400.00","22,750.00",5.22M,-2.15%
12/15/2023,"23,250.00","22,750.00","23,350.00","22,650.00",7.26M,1.97%
12/14/2023,"22,800.00","23,100.00","23,150.00","22,600.00",7.71M,0.44%
12/13/2023,"22,700.00","23,500.00","23,650.00","22,700.00",10.49M,-2.78%
12/12/2023,"23,350.00","23,450.00","23,800.00","23,300.00",6.62M,0.43%
12/11/2023,"23,250.00","23,300.00","23,500.00","22,850.00",7.12M,-0.21%
12/8/2023,"23,300.00","23,500.00","24,400.00","23,200.00",13.08M,0.00%
12/7/2023,"23,300.00","23,900.00","23,950.00","22,600.00",15.72M,-1.69%
12/6/2023,"23,700.00","23,500.00","23,800.00","23,150.00",12.30M,0.64%
12/5/2023,"23,550.00","23,950.00","23,950.00","23,350.00",10.47M,-1.26%
12/4/2023,"23,850.00","23,350.00","24,200.00","22,950.00",14.43M,4.15%
12/1/2023,"22,900.00","23,250.00","23,250.00","22,200.00",15.84M,-0.43%
11/30/2023,"23,000.00","22,950.00","23,450.00","22,700.00",12.68M,0.44%
11/29/2023,"22,900.00","22,800.00","23,400.00","22,600.00",16.68M,0.44%
11/28/2023,"22,800.00","21,850.00","22,800.00","21,650.00",17.32M,4.59%
11/27/2023,"21,800.00","22,100.00","22,450.00","21,750.00",8.93M,-1.36%
11/24/2023,"22,100.00","21,350.00","22,100.00","20,800.00",17.66M,4.49%
11/23/2023,"21,150.00","22,900.00","23,000.00","21,150.00",17.64M,-6.83%
11/22/2023,"22,700.00","22,200.00","22,700.00","21,950.00",11.80M,2.25%
11/21/2023,"22,200.00","22,600.00","23,250.00","22,200.00",17.53M,0.00%
11/20/2023,"22,200.00","21,350.00","22,300.00","21,350.00",13.30M,1.60%
11/17/2023,"21,850.00","21,700.00","22,250.00","21,350.00",21.62M,1.16%
11/16/2023,"21,600.00","21,300.00","21,600.00","21,100.00",9.15M,0.70%
11/15/2023,"21,450.00","22,550.00","22,550.00","21,300.00",17.05M,-0.69%
11/14/2023,"21,600.00","21,900.00","21,900.00","21,100.00",13.70M,0.47%
11/13/2023,"21,500.00","20,600.00","21,750.00","20,500.00",19.79M,4.88%
11/10/2023,"20,500.00","20,500.00","21,450.00","20,450.00",15.28M,-1.20%
11/9/2023,"20,750.00","21,000.00","21,500.00","20,700.00",14.86M,0.48%
11/8/2023,"20,650.00","19,300.00","20,650.00","19,250.00",15.43M,6.99%
11/7/2023,"19,300.00","19,350.00","19,700.00","19,050.00",7.86M,-1.03%
11/6/2023,"19,500.00","19,250.00","19,500.00","19,150.00",7.83M,1.30%
11/3/2023,"19,250.00","19,100.00","19,450.00","18,750.00",9.84M,0.79%
11/2/2023,"19,100.00","18,150.00","19,150.00","18,100.00",10.48M,6.70%
11/1/2023,"17,900.00","17,600.00","17,900.00","17,250.00",5.63M,2.29%
10/31/2023,"17,500.00","18,000.00","18,250.00","17,400.00",6.81M,-2.78%
10/30/2023,"18,000.00","18,000.00","18,700.00","17,950.00",7.30M,0.00%
10/27/2023,"18,000.00","17,650.00","18,050.00","17,150.00",4.83M,4.05%
10/26/2023,"17,300.00","18,100.00","18,600.00","17,300.00",10.71M,-6.99%
10/25/2023,"18,600.00","18,700.00","19,300.00","18,450.00",5.02M,-0.27%
10/24/2023,"18,650.00","18,550.00","18,650.00","18,150.00",4.32M,0.81%
10/23/2023,"18,500.00","18,500.00","18,700.00","18,050.00",5.46M,0.54%
10/20/2023,"18,400.00","17,800.00","18,500.00","17,500.00",6.10M,3.08%
10/19/2023,"17,850.00","17,800.00","18,250.00","17,250.00",5.34M,-1.11%
10/18/2023,"18,050.00","19,000.00","19,000.00","17,300.00",12.44M,-2.96%
10/17/2023,"18,600.00","20,100.00","20,250.00","18,600.00",7.38M,-6.53%
10/16/2023,"19,900.00","20,600.00","20,800.00","19,900.00",8.19M,-3.16%
10/13/2023,"20,550.00","19,950.00","20,550.00","19,800.00",7.25M,1.23%
10/12/2023,"20,300.00","20,600.00","20,850.00","20,100.00",7.10M,-0.98%
10/11/2023,"20,500.00","19,950.00","20,500.00","19,850.00",7.16M,2.76%
10/10/2023,"19,950.00","20,200.00","20,350.00","19,950.00",7.60M,0.00%
10/9/2023,"19,950.00","19,300.00","19,950.00","19,050.00",9.84M,4.18%
10/6/2023,"19,150.00","18,600.00","19,150.00","18,300.00",5.01M,2.96%
10/5/2023,"18,600.00","19,350.00","19,450.00","18,550.00",5.60M,-3.13%
10/4/2023,"19,200.00","17,800.00","19,400.00","17,800.00",7.73M,3.50%
10/3/2023,"18,550.00","19,500.00","19,550.00","18,550.00",11.66M,-6.78%
10/2/2023,"19,900.00","19,750.00","20,150.00","19,550.00",4.30M,0.76%
9/29/2023,"19,750.00","20,100.00","20,250.00","19,600.00",4.91M,-0.75%
9/28/2023,"19,900.00","19,900.00","19,950.00","19,100.00",6.80M,0.76%
9/27/2023,"19,750.00","19,000.00","19,750.00","18,600.00",6.86M,4.77%
9/26/2023,"18,850.00","18,800.00","19,900.00","18,800.00",9.39M,-2.84%
9/25/2023,"19,400.00","20,350.00","21,000.00","19,400.00",13.53M,-6.95%
9/22/2023,"20,850.00","21,500.00","21,850.00","20,850.00",27.47M,-6.92%
9/21/2023,"22,400.00","22,850.00","23,650.00","22,400.00",17.77M,-1.97%
9/20/2023,"22,850.00","22,700.00","22,950.00","22,500.00",8.01M,0.66%
9/19/2023,"22,700.00","21,850.00","22,700.00","21,000.00",14.73M,5.34%
9/18/2023,"21,550.00","21,500.00","22,200.00","21,400.00",11.57M,0.23%
9/15/2023,"21,500.00","21,350.00","22,000.00","20,900.00",10.24M,0.94%
9/14/2023,"21,300.00","22,050.00","22,100.00","21,000.00",11.95M,-3.40%
9/13/2023,"22,050.00","21,850.00","22,800.00","21,250.00",16.99M,1.38%
9/12/2023,"21,750.00","21,000.00","21,800.00","20,750.00",12.52M,3.57%
9/11/2023,"21,000.00","22,000.00","22,000.00","21,000.00",15.85M,-3.89%
9/8/2023,"21,850.00","20,900.00","21,950.00","20,700.00",16.08M,4.55%
9/7/2023,"20,900.00","21,350.00","21,450.00","20,800.00",12.06M,-1.18%
9/6/2023,"21,150.00","19,900.00","21,150.00","19,550.00",21.03M,6.82%
9/5/2023,"19,800.00","19,600.00","19,900.00","19,400.00",12.00M,2.59%
8/31/2023,"19,300.00","19,000.00","19,500.00","19,000.00",10.37M,2.66%
8/30/2023,"18,800.00","18,400.00","18,900.00","18,300.00",7.17M,2.17%
8/29/2023,"18,400.00","18,700.00","18,750.00","18,300.00",5.20M,-1.08%
8/28/2023,"18,600.00","18,200.00","18,600.00","18,150.00",6.38M,2.76%
8/25/2023,"18,100.00","18,400.00","18,450.00","18,050.00",6.89M,-1.63%
8/24/2023,"18,400.00","17,900.00","18,400.00","17,750.00",5.75M,2.79%
8/23/2023,"17,900.00","18,200.00","18,200.00","17,900.00",4.14M,0.00%
8/22/2023,"17,900.00","17,800.00","18,100.00","16,900.00",9.77M,1.13%
8/21/2023,"17,700.00","18,400.00","18,600.00","17,700.00",10.04M,-4.84%
8/18/2023,"18,600.00","19,750.00","19,850.00","18,600.00",15.99M,-7.00%
8/17/2023,"20,000.00","20,400.00","20,650.00","20,000.00",15.88M,-1.48%
8/16/2023,"20,300.00","20,400.00","20,400.00","20,000.00",6.03M,-0.49%
8/15/2023,"20,400.00","20,400.00","20,500.00","20,000.00",7.74M,0.49%
8/14/2023,"20,300.00","19,700.00","20,500.00","19,600.00",17.78M,4.10%
8/11/2023,"19,500.00","19,100.00","19,700.00","18,650.00",10.06M,2.63%
8/10/2023,"19,000.00","19,600.00","19,600.00","19,000.00",5.53M,-2.81%
8/9/2023,"19,550.00","19,250.00","19,600.00","18,950.00",10.50M,1.56%
8/8/2023,"19,250.00","19,350.00","19,550.00","19,200.00",9.89M,0.00%
8/7/2023,"19,250.00","19,400.00","19,450.00","19,100.00",7.52M,0.00%
8/4/2023,"19,250.00","18,850.00","19,250.00","18,800.00",6.24M,2.12%
8/3/2023,"18,850.00","19,200.00","19,200.00","18,650.00",12.37M,-1.82%
8/2/2023,"19,200.00","19,000.00","19,400.00","18,800.00",6.25M,0.79%
8/1/2023,"19,050.00","19,700.00","19,700.00","19,050.00",12.10M,-3.30%
7/31/2023,"19,700.00","20,250.00","20,250.00","19,300.00",10.70M,-0.51%
7/28/2023,"19,800.00","19,750.00","20,150.00","19,500.00",8.54M,0.76%
7/27/2023,"19,650.00","19,650.00","19,800.00","19,200.00",7.43M,0.00%
7/26/2023,"19,650.00","19,600.00","20,100.00","19,500.00",8.40M,0.26%
7/25/2023,"19,600.00","19,600.00","19,750.00","19,400.00",7.86M,0.00%
7/24/2023,"19,600.00","19,750.00","19,900.00","19,450.00",7.56M,-0.51%
7/21/2023,"19,700.00","19,300.00","19,800.00","19,200.00",8.24M,2.60%
7/20/2023,"19,200.00","19,000.00","19,300.00","18,800.00",8.88M,0.79%
7/19/2023,"19,050.00","19,200.00","19,300.00","18,900.00",10.62M,-0.26%
7/18/2023,"19,100.00","19,400.00","19,400.00","19,050.00",8.96M,-1.80%
7/17/2023,"19,450.00","19,550.00","19,800.00","19,300.00",6.97M,0.52%
7/14/2023,"19,350.00","18,850.00","19,350.00","18,700.00",14.63M,3.75%
7/13/2023,"18,650.00","18,900.00","18,950.00","18,600.00",5.10M,0.27%
